city,cloudiness,humidity,latitude,longitude,max_temp,wind_speed
Bluff,0,40,-23.58,149.07,92.83,10.0
Sal Rei,75,77,16.18,-22.92,69.8,9.17
Nome,90,85,30.04,-94.42,57.02,5.82
Mehamn,40,92,71.03,27.85,19.4,3.36
East London,92,98,-33.02,27.91,72.85,23.31
Vaini,0,76,15.34,74.49,57.2,5.53
Hobart,20,57,-42.88,147.33,77.0,12.75
Crystal Beach,40,67,42.87,-79.06,19.4,3.36
Ostrovnoy,80,92,68.05,39.51,16.69,2.73
Mayumba,92,100,-3.44,10.65,78.88,4.41
Hithadhoo,80,100,-0.6,73.08,77.62,6.2
Ushuaia,40,65,-54.81,-68.31,46.4,23.04
Atuona,76,100,-9.8,-139.03,79.96,15.59
Klaksvik,56,64,62.23,-6.59,35.6,27.51
Castro,20,76,-42.48,-73.76,51.8,6.93
Walvis Bay,0,100,-22.95,14.51,65.38,3.29
Punta Arenas,90,66,-53.16,-70.91,48.2,19.46
Albany,75,57,42.65,-73.75,28.4,11.41
Dikson,68,93,73.51,80.55,12.01,10.11
Coihaique,0,62,-45.58,-72.07,51.8,3.36
Baruun-Urt,0,51,46.68,113.28,6.07,14.81
Rikitea,64,97,-23.12,-134.97,80.95,9.66
Pevek,36,89,69.7,170.27,-6.54,13.35
Guerrero Negro,32,95,27.97,-114.04,58.9,7.43
Adrar,0,36,27.87,-0.29,44.6,9.17
Hokitika,0,91,-42.72,170.96,65.02,9.89
Tiksi,32,75,71.64,128.87,-37.68,6.2
Upernavik,36,100,72.79,-56.15,7.51,20.51
Airai,68,88,-8.93,125.41,78.52,1.39
Raglan,0,93,-37.8,174.87,67.81,20.29
Ucluelet,44,93,48.94,-125.55,36.31,3.29
Tuatapere,80,100,-46.13,167.69,57.19,6.08
New Norfolk,20,57,-42.78,147.06,77.0,12.75
Puerto Ayora,68,100,-0.74,-90.35,77.35,6.64
Biltine,0,34,14.53,20.93,58.45,11.23
Chervone,0,63,47.83,37.79,3.55,2.17
Ballitoville,75,94,-29.54,31.21,69.8,4.7
Aracuai,0,67,-16.85,-42.07,77.62,8.77
Cururupu,100,97,-1.82,-44.87,76.45,3.4
Clyde River,1,74,70.47,-68.59,-23.81,16.11
Port Elizabeth,75,61,39.31,-74.98,37.94,8.05
Avarua,75,74,-21.21,-159.78,84.2,12.75
Dauriya,76,46,49.93,116.85,-3.12,8.99
Ribeira Grande,0,100,38.52,-28.7,60.7,4.63
Tuktoyaktuk,5,68,69.44,-133.03,-14.81,17.22
Plettenberg Bay,0,98,-34.05,23.37,67.63,12.8
Vao,92,93,59.1,26.19,24.97,13.47
Srivardhan,0,85,18.03,73.02,69.52,3.18
Narsaq,88,86,60.91,-46.05,32.0,17.22
Samarai,24,99,-10.62,150.67,84.1,14.36
Havoysund,0,79,71.0,24.66,19.4,8.05
Harqalah,92,98,35.96,38.95,45.13,17.6
Kapaa,1,45,22.08,-159.32,80.96,17.22
Axim,0,100,4.87,-2.24,82.66,11.68
Navahrudak,88,98,53.59,25.82,36.31,15.82
Cayenne,0,83,4.94,-52.33,78.8,4.7
Thompson,5,68,55.74,-97.86,-16.61,10.29
Yellowknife,5,73,62.45,-114.38,-29.21,11.41
Komsomolskiy,20,72,67.55,63.78,8.05,11.34
Sur,0,100,22.57,59.53,67.54,6.08
Luderitz,36,95,-26.65,15.16,58.09,9.78
Wewak,76,78,-3.55,143.63,84.73,0.72
Kodiak,90,100,39.95,-94.76,32.0,5.82
Santiago,0,34,-33.44,-70.65,66.2,11.41
Port Macquarie,0,46,-31.43,152.91,89.6,16.11
Esperance,20,83,10.24,-61.45,77.0,5.82
Cap Malheureux,75,94,-19.98,57.61,77.0,1.12
Shache,64,70,38.42,77.24,15.7,2.51
Bethel,90,80,60.79,-161.76,19.04,11.41
Butaritari,80,100,3.07,172.79,82.93,17.83
Belmonte,44,92,40.36,-7.35,32.89,2.73
Ca Mau,20,85,9.18,105.15,81.85,17.49
Jamestown,92,63,-33.21,138.6,93.55,5.08
Mishkino,75,92,56.22,46.62,19.4,13.42
Poum,0,70,41.28,20.71,4.45,1.95
Muros,40,93,42.77,-9.06,44.6,1.12
Tevriz,64,82,57.51,72.4,10.21,5.64
Allapalli,0,81,19.43,80.06,66.19,3.06
Oriximina,56,88,-1.77,-55.87,78.43,2.28
Leningradskiy,32,83,69.38,178.42,-5.01,18.28
Bogo,0,39,10.74,14.61,55.75,7.43
Mar del Plata,0,60,-46.43,-67.52,54.13,2.73
Ballina,0,93,54.11,-9.15,38.74,12.46
Sam Chuk,44,52,14.75,100.09,81.67,16.37
Bongandanga,24,97,1.51,21.07,72.31,2.28
Kazerun,92,96,29.62,51.65,54.31,3.74
Alofi,75,74,-19.06,-169.92,87.8,5.82
Talavera,40,54,15.58,120.92,80.6,4.7
Qaanaaq,0,100,77.48,-69.36,-20.4,10.0
El Vigia,75,72,26.85,-109.72,66.2,3.36
Carnarvon,0,96,-30.97,22.13,52.78,3.62
Dudinka,48,76,69.41,86.18,-3.48,6.87
Husavik,12,34,50.56,-96.99,-23.01,3.62
Rock Sound,0,100,24.9,-76.2,73.03,7.99
Lebu,0,77,8.96,38.73,50.0,4.7
Maragogi,92,100,-9.01,-35.22,75.82,4.29
Caravelas,0,100,-17.73,-39.27,80.68,12.91
Margate,20,57,-43.03,147.26,77.0,12.75
Ust-Tsilma,88,90,65.44,52.15,21.1,4.41
Pedasi,0,93,7.53,-80.03,80.5,23.2
Bredasdorp,80,88,-34.53,20.04,69.8,3.36
Busselton,76,98,-33.64,115.35,68.71,13.13
Verkhnevilyuysk,76,42,63.45,120.31,-26.97,5.64
Tiznit,56,100,29.7,-9.73,47.29,5.19
Chuy,0,95,-33.69,-53.46,67.54,5.3
Rocha,0,92,-34.48,-54.34,60.7,3.4
Hasaki,20,31,35.73,140.83,50.0,6.93
Isangel,12,96,-19.55,169.27,81.85,13.02
Provideniya,90,100,64.42,-173.23,23.0,4.47
Tres Arroyos,0,67,-38.38,-60.28,61.33,13.91
Mataura,92,82,-46.19,168.86,63.4,9.22
Geraldton,5,68,49.72,-86.95,-18.41,5.82
Natal,40,88,-5.81,-35.21,78.8,5.82
Port Alfred,76,94,-33.59,26.89,71.86,18.05
Ardakan,20,46,32.31,54.02,50.0,4.7
Nhulunbuy,75,62,-12.18,136.78,89.6,9.17
Rancharia,0,65,-22.23,-50.89,77.0,6.93
Sesimbra,90,100,38.45,-9.1,46.4,2.24
Tessalit,56,22,20.2,1.01,46.48,3.62
Bambous Virieux,75,94,-20.34,57.76,77.0,1.12
Centralina,48,81,-18.58,-49.2,72.58,2.95
Buin,0,34,-33.73,-70.74,66.2,11.41
Barrow,0,67,-38.31,-60.23,61.33,13.91
Fairbanks,1,86,64.84,-147.72,7.34,7.2
Cape Town,0,82,-33.93,18.42,66.2,1.12
Namibe,36,100,-15.19,12.15,73.21,8.88
Balagansk,80,79,54.01,103.05,0.85,2.62
Salalah,40,64,17.01,54.1,73.4,4.7
Buraydah,0,76,26.33,43.97,55.4,12.75
Norman Wells,75,64,65.28,-126.83,1.4,21.92
Campoverde,20,80,41.54,12.73,48.2,6.93
Marawi,92,75,8.0,124.29,76.27,3.29
Nikolskoye,40,85,59.7,30.79,21.2,8.95
Prado,24,95,-17.34,-39.22,80.77,12.24
Basco,90,98,40.33,-91.2,32.0,6.93
Kosonsoy,90,92,41.25,71.55,28.4,2.24
San Juan de Arama,20,62,3.37,-73.87,73.75,2.39
Fortuna,0,66,38.18,-1.13,48.2,5.82
Berlevag,40,92,70.86,29.09,19.4,3.36
High Level,20,83,58.52,-117.13,-14.81,6.93
Kiunga,92,100,-6.12,141.3,75.28,1.61
Vardo,90,58,39.62,-77.74,37.4,11.41
Rovinj,75,71,45.08,13.64,50.0,10.29
Price,90,96,39.6,-110.81,30.92,2.06
Ostersund,90,92,63.18,14.64,12.2,6.93
Dukat,0,68,42.44,22.31,13.63,1.5
Vostok,20,45,46.45,135.83,-16.62,9.66
Hofn,0,100,64.25,-15.21,28.48,1.83
Mwense,56,94,-10.39,28.7,63.94,2.39
Nizwa,0,77,22.93,57.53,45.94,1.5
Talnakh,76,77,69.49,88.39,-0.78,4.29
Tolmin,92,93,46.18,13.73,44.6,1.12
Cidreira,100,93,-30.17,-50.22,75.28,7.31
Vila Velha,20,88,-3.71,-38.6,78.8,3.36
San Ramon,92,88,12.92,-85.84,66.46,2.73
Saint-Pierre,88,93,48.95,4.24,44.6,18.34
Khatanga,68,75,71.98,102.47,-17.16,7.43
Hilo,90,62,19.71,-155.08,75.92,5.82
Olinda,90,100,-2.03,-79.75,75.2,3.36
Shirokiy,68,89,53.87,39.17,19.21,11.45
Saint-Philippe,1,60,45.36,-73.48,7.7,4.7
Kulhudhuffushi,8,100,6.62,73.07,81.31,4.63
Nizhniy Tsasuchey,68,65,50.52,115.13,1.84,10.67
Saint George,0,80,39.45,22.34,30.2,5.82
Namatanai,20,95,-3.66,152.44,85.72,9.66
Portland,90,73,45.52,-122.67,46.94,19.46
Arman,20,47,59.7,150.17,-2.58,12.68
Iralaya,48,85,15.0,-83.23,77.71,6.53
Boende,24,98,-0.28,20.88,69.61,2.17
Torbay,90,85,47.66,-52.73,24.8,9.17
Tasiilaq,88,79,65.61,-37.64,21.2,31.09
Pombia,90,100,45.65,8.63,44.6,4.7
Matagami,12,31,9.67,8.4,63.4,7.65
Muborak,0,74,39.25,65.15,33.16,7.2
Vanavara,76,81,60.35,102.28,0.76,6.2
Lagoa,40,87,37.14,-8.45,51.8,3.36
Buriti Alegre,48,74,-18.14,-49.04,75.28,1.83
Westport,12,95,53.8,-9.52,40.9,12.8
Berezovyy,64,60,51.67,135.7,13.63,18.72
Saskylakh,76,77,71.97,114.09,-17.88,13.69
Luanda,48,100,-8.83,13.24,74.02,2.17
Mahebourg,75,94,-20.41,57.7,77.0,1.12
Moron,92,92,10.49,-68.2,68.8,3.4
Dunedin,32,81,-45.87,170.5,68.08,4.29
Kulachi,0,73,31.93,70.46,33.61,2.62
Yuci,0,20,37.68,112.73,23.0,2.24
Clarence Town,0,37,-32.59,151.78,96.8,9.17
Pochutla,20,69,15.74,-96.47,80.6,7.43
Borovskoy,64,81,53.8,64.15,10.12,10.67
Jiuquan,12,51,39.73,98.49,3.01,1.72
Pringsewu,64,92,-5.36,104.98,79.51,2.95
Hami,88,83,42.84,93.51,17.5,5.75
Kaliua,92,98,-5.06,31.79,61.6,2.39
Bozoum,0,37,6.31,16.38,63.85,9.44
Pune,0,84,18.52,73.85,59.53,3.18
Orsk,90,85,51.23,58.47,12.2,20.13
Mujiayingzi,0,22,42.12,118.78,21.82,3.96
Linxia,0,43,35.6,103.21,26.05,2.73
Coos Bay,90,92,43.37,-124.22,51.08,9.17
Cherskiy,76,79,68.75,161.3,-25.62,3.62
Fukue,20,49,35.03,136.69,46.4,8.05
Kundla,0,70,21.34,71.31,57.82,5.97
China,36,88,25.71,-99.24,53.05,1.16
Longyearbyen,40,77,78.22,15.63,6.8,9.17
Vesele,20,93,47.02,34.92,27.67,4.97
Kruisfontein,64,94,-34.0,24.73,67.81,11.79
Mayo,90,85,63.59,-135.9,15.8,8.05
Thinadhoo,32,100,0.53,72.93,81.67,4.07
Tucurui,32,98,-3.77,-49.67,73.3,2.39
Khash,0,71,28.22,61.21,32.44,2.39
Tilichiki,0,65,60.47,166.1,-22.38,3.62
Urk,75,81,52.67,5.6,42.8,20.8
Chokurdakh,0,0,70.62,147.9,-51.9,2.95
Ambilobe,44,96,-13.19,49.05,71.68,3.96
Sao Filipe,48,98,14.9,-24.5,71.68,13.24
Mildura,44,17,-34.18,142.16,102.2,17.22
Najran,0,22,17.54,44.22,57.2,2.73
Vila Franca do Campo,20,81,37.72,-25.43,48.2,4.7
Kaitangata,92,100,-46.28,169.85,60.61,8.66
Santa Helena de Goias,12,85,-17.81,-50.6,72.13,0.72
Georgetown,0,94,6.8,-58.16,75.2,6.93
Barrhead,90,92,54.12,-114.4,5.0,9.17
Palauig,0,73,15.44,119.9,81.58,1.28
Los Llanos de Aridane,56,72,28.66,-17.92,60.8,10.29
Pandan,0,98,11.72,122.09,80.05,19.84
Kralendijk,36,78,12.15,-68.27,78.8,13.87
Tongren,0,92,27.72,109.18,39.73,3.29
Kirakira,68,100,-10.46,161.92,82.3,8.43
Port Hardy,75,65,50.7,-127.42,44.6,18.34
San Patricio,24,81,-26.98,-56.83,80.77,2.95
Tongliao,36,25,43.61,122.27,11.92,6.76
Petropavlovsk-Kamchatskiy,90,96,53.05,158.65,32.0,17.9
Dingle,8,62,11.0,122.67,82.93,16.15
Yingcheng,0,69,30.93,113.57,39.2,4.47
Souillac,0,93,45.6,-0.6,46.4,5.82
Terney,8,100,45.05,136.61,-1.41,26.22
Tibiri,0,40,13.59,7.06,52.96,10.22
Chernyakhovsk,92,97,54.64,21.81,37.3,17.6
Lopsmarka,40,72,67.31,14.45,15.8,13.87
Moerai,48,100,-22.43,-151.33,77.08,5.53
The Valley,75,61,18.22,-63.06,78.8,8.05
Ahipara,0,70,-35.17,173.16,71.77,14.03
Patamundai,0,69,20.57,86.57,64.75,4.41
Lichinga,56,95,-13.3,35.25,62.32,2.51
Severo-Kurilsk,20,100,50.68,156.12,25.78,21.74
Concepcion,88,51,9.56,-73.66,86.62,2.62
Aitape,32,98,-3.15,142.36,84.01,7.43
Morant Bay,75,65,17.88,-76.41,77.0,6.93
San Pedro de Macoris,40,83,18.46,-69.3,73.4,6.93
Lorengau,76,93,-2.02,147.27,85.36,12.8
San Rafael,40,59,-34.61,-68.33,66.2,5.82
Birao,0,41,10.3,22.78,66.73,12.35
Parnamirim,40,88,-5.92,-35.27,78.8,5.82
Cabedelo,75,83,-6.97,-34.84,78.8,4.7
Constantine,0,83,36.36,6.61,35.6,2.24
Bonavista,8,100,48.65,-53.11,22.0,11.79
Hot Springs,90,100,34.5,-93.06,51.98,4.7
Mago,80,82,53.27,140.15,22.0,10.89
Kissidougou,0,67,9.19,-10.1,64.93,5.19
Aasiaat,32,100,68.71,-52.87,13.63,6.42
Teknaf,0,70,20.86,92.31,67.72,3.18
Alvorada,75,74,-30.0,-51.08,82.4,3.36
Kjollefjord,40,92,70.95,27.35,19.4,3.36
Vieux-Habitants,20,94,16.06,-61.77,69.8,13.13
Camacha,40,62,33.08,-16.33,59.0,10.29
Seoul,1,43,37.57,126.98,37.94,4.7
Nara,40,49,34.68,135.8,48.2,17.22
Victoria,75,66,5.28,115.24,86.0,4.7
Aliaga,40,54,15.5,120.85,80.6,4.7
Salym,88,85,60.06,71.48,17.14,8.43
Yenagoa,20,88,4.92,6.26,74.11,5.41
Hermanus,0,97,-34.42,19.24,57.55,3.18
